season,team,player,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
2425,Arsenal,Ben White,ENG,DF,27-038,1997,7.7,419,37,137,191,93,7,419,2,0,0.0,1,50.0,193,672,332,4,7,1,7,3,245,15
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,9.1,446,5,31,103,314,69,446,44,18,40.9,18,40.9,279,1739,948,39,8,23,18,24,318,108
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11.0,419,283,400,19,0,0,419,0,0,,0,,259,1365,869,0,0,0,1,0,219,0
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,9.2,544,26,104,245,200,22,544,11,6,54.5,4,36.4,263,1624,851,24,19,6,6,12,342,31
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,0.6,40,0,6,14,20,2,40,3,2,66.7,0,0.0,24,220,106,4,2,1,3,2,26,5
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,1.4,81,3,9,24,48,14,81,9,3,33.3,4,44.4,59,332,194,7,3,4,4,3,57,14
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,10.6,691,86,277,335,83,16,691,3,3,100.0,0,0.0,396,1550,901,3,4,0,0,1,500,6
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,7.6,295,7,37,77,188,51,295,35,14,40.0,13,37.1,182,1508,876,39,16,16,15,13,209,89
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,1.1,46,11,25,17,4,0,46,2,1,50.0,1,50.0,16,49,7,0,0,0,0,0,22,0
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,1.7,80,1,16,41,24,0,80,0,0,,0,,39,194,121,2,0,0,2,4,56,0
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,7.6,362,25,93,156,116,14,362,13,8,61.5,4,30.8,166,802,368,12,3,3,6,5,185,22
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11.0,418,23,66,152,204,56,418,26,6,23.1,16,61.5,210,1052,520,20,16,11,26,11,299,60
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,6.4,250,7,45,80,131,36,250,15,6,40.0,8,53.3,151,998,409,16,14,5,9,16,173,32
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,3.8,172,1,12,81,83,17,172,10,5,50.0,5,50.0,120,778,323,10,3,6,3,10,131,13
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,3.1,164,9,30,88,49,10,164,2,2,100.0,0,0.0,86,378,160,2,3,1,6,4,114,16
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,0.2,15,1,8,2,5,1,15,0,0,,0,,5,26,22,1,0,0,0,0,8,1
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,1.2,107,6,23,63,22,3,107,1,1,100.0,0,0.0,59,373,152,1,2,0,2,1,66,3
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,1.4,55,0,0,13,42,13,55,9,6,66.7,1,11.1,42,376,225,9,2,10,2,4,42,12
2425,Arsenal,Reiss Nelson,ENG,FW,24-341,1999,0.0,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0
2425,Arsenal,Riccardo Calafiori,ITA,DF,22-180,2002,4.3,257,17,81,90,88,11,257,8,6,75.0,1,12.5,110,564,260,3,5,2,6,0,139,9
2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-010,1998,0.1,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,0,2,0
2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-155,1993,10.8,707,35,159,366,185,6,707,7,4,57.1,2,28.6,367,1689,822,4,10,0,9,9,474,7
2425,Arsenal,William Saliba,FRA,DF,23-236,2001,9.3,644,53,262,362,23,5,644,4,4,100.0,0,0.0,384,1688,876,5,4,0,4,2,475,2
2425,Aston Villa,Amadou Onana,BEL,MF,23-091,2001,7.8,414,33,124,223,77,13,414,9,6,66.7,2,22.2,225,1055,517,8,10,0,5,6,257,6
2425,Aston Villa,Boubacar Kamara,FRA,MF,24-358,1999,0.4,30,1,8,18,4,0,30,1,0,0.0,0,0.0,18,52,27,0,0,0,1,0,20,0
2425,Aston Villa,Diego Carlos,BRA,DF,31-245,1993,5.2,347,47,174,168,7,2,347,1,1,100.0,0,0.0,238,1078,514,1,2,0,0,1,252,0
2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-326,1996,0.3,25,0,2,15,9,0,25,0,0,,0,,20,68,48,2,3,0,1,1,22,4
2425,Aston Villa,Emiliano Martínez,ARG,GK,32-074,1992,11.0,422,315,419,3,0,0,422,1,1,100.0,0,0.0,267,1410,819,0,0,0,1,0,219,0
2425,Aston Villa,Ezri Konsa,ENG,DF,27-023,1997,9.1,561,53,248,267,49,7,561,7,4,57.1,3,42.9,355,1882,943,8,7,1,4,0,399,5
2425,Aston Villa,Ian Maatsen,NED,DF,22-250,2002,1.8,135,5,31,55,51,7,135,6,2,33.3,4,66.7,63,327,184,5,4,2,4,3,68,15
2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-171,2001,7.0,323,6,55,111,163,28,323,22,16,72.7,6,27.3,231,1575,761,28,17,11,11,7,258,54
2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-281,2002,2.2,71,3,13,22,36,6,71,6,1,16.7,2,33.3,41,262,99,2,3,3,3,1,44,9
2425,Aston Villa,Jhon Durán,COL,FW,20-338,2003,3.2,135,8,19,57,61,22,135,10,3,30.0,7,70.0,74,266,123,3,1,0,7,10,98,17
2425,Aston Villa,John McGinn,SCO,"FW,MF",30-028,1994,6.1,240,5,38,108,95,15,240,12,6,50.0,3,25.0,122,723,328,12,4,2,8,9,166,27
2425,Aston Villa,Kosta Nedeljković,SRB,DF,18-335,2005,1.1,49,4,10,24,15,0,49,2,1,50.0,1,50.0,20,75,28,1,0,0,1,0,23,0
2425,Aston Villa,Lamare Bogarde,NED,DF,20-315,2004,1.9,117,6,31,71,16,0,117,2,1,50.0,0,0.0,72,326,157,3,3,0,2,5,79,5
2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-098,1997,5.6,231,10,40,59,137,23,231,19,7,36.8,7,36.8,148,952,489,22,6,11,18,14,165,42
2425,Aston Villa,Lucas Digne,FRA,DF,31-118,1993,9.3,559,33,200,146,217,9,559,7,3,42.9,4,57.1,278,1114,448,5,4,1,5,6,313,48
2425,Aston Villa,Matty Cash,POL,DF,27-100,1997,4.7,269,20,99,122,51,4,269,5,4,80.0,1,20.0,133,802,420,8,10,0,4,2,147,7
2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-112,2002,10.0,380,12,55,175,160,41,380,42,18,42.9,18,42.9,225,1489,900,30,20,8,30,26,256,56
2425,Aston Villa,Ollie Watkins,ENG,FW,28-321,1995,9.3,198,2,8,65,126,52,198,16,2,12.5,12,75.0,131,583,269,15,11,10,22,20,166,51
2425,Aston Villa,Pau Torres,ESP,DF,27-304,1997,11.0,712,93,298,369,47,7,712,12,11,91.7,1,8.3,477,2983,1940,21,12,0,3,3,519,4
2425,Aston Villa,Ross Barkley,ENG,MF,30-346,1993,3.1,211,7,31,125,58,6,211,2,1,50.0,1,50.0,131,640,329,8,7,1,2,3,149,4
2425,Aston Villa,Youri Tielemans,BEL,MF,27-192,1997,10.8,808,35,168,455,192,11,808,20,10,50.0,6,30.0,467,1843,933,16,11,4,8,8,573,11
2425,Bournemouth,Adam Smith,ENG,DF,33-200,1991,6.7,298,18,102,128,69,2,298,8,3,37.5,3,37.5,125,418,179,2,5,0,6,5,122,8
2425,Bournemouth,Alex Scott,ENG,MF,21-086,2003,2.9,191,10,38,97,58,5,191,13,2,15.4,7,53.8,112,628,290,5,3,1,5,3,117,14
2425,Bournemouth,Antoine Semenyo,GHA,FW,24-313,2000,10.7,475,12,68,161,263,62,475,45,24,53.3,15,33.3,305,2508,1191,45,25,23,26,14,338,86
2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-278,2002,4.6,219,15,45,66,110,28,219,20,7,35.0,12,60.0,99,857,443,23,8,10,8,5,114,47
2425,Bournemouth,Daniel Jebbison,ENG,FW,21-094,2003,0.3,7,1,1,3,3,1,7,0,0,,0,,6,40,19,1,0,1,1,1,8,1
2425,Bournemouth,David Brooks,WAL,"MF,FW",27-130,1997,0.5,27,1,5,8,15,2,27,1,0,0.0,0,0.0,19,129,41,1,1,1,3,0,18,11
2425,Bournemouth,Dean Huijsen,ESP,DF,19-215,2005,2.4,178,23,92,78,9,4,178,1,0,0.0,1,100.0,98,502,341,2,1,0,0,0,119,1
2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-189,1997,1.7,67,4,7,27,33,10,67,5,1,20.0,4,80.0,34,122,62,4,3,1,5,3,47,8
2425,Bournemouth,Evanilson,BRA,FW,25-040,1999,7.9,168,10,12,62,94,39,167,12,5,41.7,3,25.0,96,426,203,7,3,3,12,9,117,20
2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-075,2002,11.0,639,88,318,310,15,3,639,1,0,0.0,0,0.0,373,2133,1180,4,5,0,4,1,392,1
2425,Bournemouth,Julian Araujo,MEX,DF,23-094,2001,3.9,200,15,68,103,32,1,200,0,0,,0,,84,290,138,2,0,0,4,2,100,11
2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-194,1999,6.9,262,9,34,88,146,36,261,16,6,37.5,10,62.5,142,836,427,16,7,12,13,3,166,47
2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-043,1994,6.0,204,164,201,3,0,0,204,0,0,,0,,119,573,341,0,0,0,0,0,94,0
2425,Bournemouth,Lewis Cook,ENG,MF,27-286,1997,10.9,636,30,130,359,155,8,636,6,2,33.3,4,66.7,285,1473,798,10,9,1,12,10,333,17
2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-151,1999,2.3,118,5,10,29,79,18,118,16,7,43.8,7,43.8,73,551,278,14,4,7,4,2,78,29
2425,Bournemouth,Marcos Senesi,ARG,DF,27-189,1997,8.6,591,50,263,275,60,11,591,7,5,71.4,2,28.6,356,1918,1108,10,13,0,3,4,362,3
2425,Bournemouth,Marcus Tavernier,ENG,"MF,FW",25-238,1999,8.9,445,6,40,173,243,20,445,23,10,43.5,12,52.2,233,1465,761,22,18,2,15,21,278,49
2425,Bournemouth,Mark Travers,IRL,GK,25-181,1999,3.0,85,76,83,2,0,0,85,0,0,,0,,41,247,103,0,0,0,0,0,31,0
2425,Bournemouth,Milos Kerkez,HUN,DF,21-008,2003,10.3,539,33,143,222,181,14,539,10,6,60.0,0,0.0,270,1738,1078,29,17,2,13,3,300,45
2425,Bournemouth,Neto,BRA,GK,35-119,1989,2.0,70,60,70,0,0,0,70,0,0,,0,,35,148,99,0,0,0,0,0,28,0
2425,Bournemouth,Philip Billing,DEN,MF,28-157,1996,0.3,16,0,1,6,9,2,16,0,0,,0,,10,43,27,0,0,0,0,2,11,2
2425,Bournemouth,Ryan Christie,SCO,MF,29-267,1995,7.8,424,23,82,228,122,17,424,18,10,55.6,6,33.3,219,1053,458,8,9,3,18,6,242,18
2425,Bournemouth,Tyler Adams,USA,MF,25-275,1999,1.1,68,4,13,35,20,1,68,0,0,,0,,27,131,47,0,2,0,0,1,28,0
2425,Brentford,Ben Mee,ENG,"DF,FW",35-055,1989,0.1,7,2,4,3,0,0,7,0,0,,0,,3,7,1,0,0,0,0,0,3,0
2425,Brentford,Bryan Mbeumo,CMR,FW,25-100,1999,10.9,476,12,77,157,251,36,474,26,11,42.3,11,42.3,297,1844,928,33,17,14,30,12,321,100
2425,Brentford,Christian Nørgaard,DEN,MF,30-250,1994,8.6,487,50,185,221,85,13,487,5,3,60.0,2,40.0,244,893,353,5,2,0,10,8,302,12
2425,Brentford,Ethan Pinnock,JAM,DF,31-170,1993,11.0,751,168,441,253,58,13,751,8,3,37.5,5,62.5,369,1790,861,1,1,0,0,2,425,4
2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-077,2002,3.2,151,3,30,53,69,17,151,9,1,11.1,7,77.8,76,365,136,5,1,0,8,4,82,13
2425,Brentford,Frank Onyeka,NGA,MF,26-319,1998,0.3,10,0,1,5,4,0,10,0,0,,0,,6,55,14,0,0,0,2,1,6,0
2425,Brentford,Keane Lewis-Potter,ENG,"FW,DF",23-267,2001,8.5,318,24,72,108,142,29,318,27,9,33.3,16,59.3,176,1323,609,24,17,15,19,7,198,46
2425,Brentford,Kevin Schade,GER,"FW,MF",22-354,2001,5.4,183,7,26,65,96,21,183,22,5,22.7,14,63.6,109,769,287,13,7,5,16,8,128,37
2425,Brentford,Kristoffer Ajer,NOR,DF,26-212,1998,7.1,356,25,140,166,55,8,356,8,4,50.0,4,50.0,198,1238,736,14,7,0,8,6,236,12
2425,Brentford,Mads Roerslev,DEN,DF,25-144,1999,5.0,291,21,109,124,59,4,291,10,4,40.0,5,50.0,172,815,394,7,5,0,3,5,196,30
2425,Brentford,Mark Flekken,NED,GK,31-155,1993,11.0,607,473,591,19,0,0,607,0,0,,0,,403,2070,1122,0,0,0,0,0,366,0
2425,Brentford,Mathias Jensen,DEN,MF,28-319,1996,3.9,206,9,42,84,80,2,206,6,2,33.3,2,33.3,113,525,303,4,4,0,2,4,128,15
2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-135,2000,8.8,503,19,105,228,176,17,503,22,11,50.0,9,40.9,283,1630,784,21,16,2,18,18,316,32
2425,Brentford,Nathan Collins,IRL,DF,23-199,2001,11.0,778,123,412,314,55,26,778,3,2,66.7,1,33.3,406,2075,1129,10,3,0,2,3,481,6
2425,Brentford,Ryan Trevitt,ENG,MF,21-248,2003,0.0,7,1,2,4,1,0,7,0,0,,0,,4,7,2,0,0,0,0,0,4,1
2425,Brentford,Sepp van den Berg,NED,DF,22-331,2001,8.1,466,67,232,170,66,14,466,4,2,50.0,2,50.0,195,838,371,3,4,0,7,3,262,16
2425,Brentford,Vitaly Janelt,GER,MF,26-189,1998,10.0,519,47,183,236,105,11,519,7,2,28.6,4,57.1,266,1327,542,7,10,1,7,3,322,18
2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-259,2004,1.6,139,12,43,65,35,1,139,5,2,40.0,3,60.0,67,353,93,1,5,1,5,5,77,5
2425,Brentford,Yoane Wissa,COD,FW,28-073,1996,6.3,197,4,24,94,83,31,197,9,4,44.4,3,33.3,119,720,301,8,4,3,20,6,148,33
2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-310,2006,0.2,22,0,5,9,8,0,22,1,0,0.0,1,100.0,9,51,34,1,0,1,2,3,13,1
2425,Brighton,Adam Webster,ENG,DF,29-316,1995,0.9,86,8,41,42,3,1,86,0,0,,0,,59,377,231,0,0,0,0,0,70,1
2425,Brighton,Bart Verbruggen,NED,GK,22-089,2002,9.0,387,316,383,4,0,0,387,0,0,,0,,256,959,499,0,1,1,1,0,239,0
2425,Brighton,Billy Gilmour,SCO,MF,23-157,2001,1.1,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210,117,2,0,0,0,0,58,2
2425,Brighton,Brajan Gruda,GER,MF,20-168,2004,0.7,36,1,3,16,17,5,36,2,1,50.0,1,50.0,20,157,46,3,2,2,2,4,24,6
2425,Brighton,Carlos Baleba,CMR,MF,20-317,2004,6.9,399,15,76,232,100,5,399,16,10,62.5,5,31.3,205,1227,584,9,13,1,6,9,231,4
2425,Brighton,Danny Welbeck,ENG,FW,33-355,1990,10.3,322,7,25,154,146,44,322,18,5,27.8,11,61.1,176,878,377,8,13,3,18,14,235,41
2425,Brighton,Evan Ferguson,IRL,FW,20-027,2004,1.2,35,3,5,24,6,2,35,0,0,,0,,18,62,12,1,1,1,2,3,26,3
2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-039,1999,4.3,231,13,71,91,72,9,231,7,3,42.9,3,42.9,124,479,183,1,0,0,6,2,144,27
2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-209,2002,6.7,259,11,33,105,127,28,259,26,8,30.8,15,57.7,144,906,531,15,12,6,23,12,179,38
2425,Brighton,Igor,BRA,DF,26-282,1998,5.3,396,64,196,185,19,1,396,3,2,66.7,1,33.3,245,1476,984,7,6,0,1,0,284,0
2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-218,2005,9.3,566,27,172,266,133,11,566,6,1,16.7,5,83.3,268,1154,570,10,6,1,10,1,367,27
2425,Brighton,Jakub Moder,POL,MF,25-222,1999,0.1,16,0,5,7,4,0,16,0,0,,0,,7,64,52,2,1,0,0,0,8,0
2425,Brighton,James Milner,ENG,MF,38-316,1986,1.9,92,3,13,48,31,4,92,1,1,100.0,0,0.0,46,223,97,1,1,0,0,0,58,10
2425,Brighton,Jan Paul van Hecke,NED,DF,24-160,2000,8.1,704,64,313,346,48,7,704,5,3,60.0,2,40.0,505,3048,2101,9,16,0,1,0,528,0
2425,Brighton,Jason Steele,ENG,GK,34-089,1990,2.0,114,107,114,0,0,0,114,0,0,,0,,91,361,151,0,0,0,0,0,83,0
2425,Brighton,Jeremy Sarmiento,ECU,MF,22-152,2002,0.1,8,0,0,6,2,0,8,0,0,,0,,6,61,10,0,0,0,1,0,7,2
2425,Brighton,João Pedro,BRA,"MF,FW",23-050,2001,3.4,161,4,17,62,86,18,161,14,6,42.9,8,57.1,110,726,423,15,10,8,15,10,130,17
2425,Brighton,Joël Veltman,NED,DF,32-305,1992,9.6,573,37,197,275,104,7,573,10,1,10.0,5,50.0,270,1327,668,18,10,3,11,4,325,17
2425,Brighton,Julio Enciso,PAR,"MF,FW",20-297,2004,1.0,79,0,6,32,43,4,79,13,6,46.2,5,38.5,40,205,118,4,3,2,4,2,49,7
2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-179,1997,10.2,488,3,52,169,277,65,488,55,21,38.2,32,58.2,298,2534,1621,59,31,25,17,7,357,118
2425,Brighton,Lewis Dunk,ENG,DF,32-360,1991,7.8,694,87,350,305,46,6,694,1,0,0.0,1,100.0,427,2076,1117,8,5,0,0,2,504,1
2425,Brighton,Mats Wieffer,NED,MF,24-365,1999,2.6,220,12,61,123,38,4,220,6,2,33.3,4,66.7,124,550,249,4,5,0,3,5,144,4
2425,Brighton,Matt O'Riley,DEN,MF,23-360,2000,0.4,12,1,2,7,3,2,12,0,0,,0,,6,27,10,0,0,0,0,0,7,2
2425,Brighton,Pervis Estupiñán,ECU,DF,26-299,1998,5.8,436,17,106,208,126,10,436,5,1,20.0,4,80.0,212,1019,583,15,14,4,7,9,262,36
2425,Brighton,Simon Adingra,CIV,"FW,MF",22-319,2002,2.3,129,2,14,41,76,12,129,8,1,12.5,7,87.5,80,532,250,7,5,4,13,3,89,44
2425,Brighton,Tariq Lamptey,GHA,DF,24-046,2000,0.1,6,1,2,4,1,0,6,0,0,,0,,4,32,31,1,1,0,1,0,3,1
2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-116,2004,4.5,192,6,15,58,122,32,192,30,9,30.0,17,56.7,111,849,453,17,6,17,9,5,114,54
2425,Brighton,Yasin Ayari,SWE,MF,21-040,2003,5.5,311,12,58,149,110,15,311,20,6,30.0,8,40.0,153,806,338,9,7,3,14,7,192,27
2425,Chelsea,Axel Disasi,FRA,DF,26-249,1998,1.0,83,6,40,39,4,0,83,1,1,100.0,0,0.0,46,255,84,1,0,0,1,0,55,0
2425,Chelsea,Benoît Badiashile,FRA,DF,23-234,2001,0.4,47,4,22,24,1,0,47,0,0,,0,,26,113,80,1,1,0,0,0,34,1
2425,Chelsea,Christopher Nkunku,FRA,FW,27-001,1997,1.8,99,4,17,24,58,16,99,9,4,44.4,4,44.4,62,324,151,5,2,4,4,2,70,18
2425,Chelsea,Cole Palmer,ENG,"MF,FW",22-193,2002,10.6,537,6,55,259,231,36,536,36,14,38.9,15,41.7,346,2453,1215,37,23,9,16,11,395,48
2425,Chelsea,Enzo Fernández,ARG,MF,23-303,2001,6.8,457,10,81,242,134,13,457,8,3,37.5,3,37.5,232,910,462,8,8,0,10,9,324,19
2425,Chelsea,Jadon Sancho,ENG,FW,24-235,2000,3.4,158,3,24,41,94,20,158,20,12,60.0,8,40.0,107,733,372,17,8,11,7,1,122,38
2425,Chelsea,João Félix,POR,"MF,FW",25-005,1999,1.4,98,1,11,45,43,11,98,11,3,27.3,4,36.4,65,472,279,7,2,2,2,2,76,11
2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-070,1998,0.5,41,0,8,24,9,0,41,1,1,100.0,0,0.0,28,174,108,3,0,0,0,1,34,1
2425,Chelsea,Levi Colwill,ENG,DF,21-263,2003,11.0,873,125,458,397,19,10,873,5,3,60.0,2,40.0,480,2263,1339,3,2,0,6,4,617,0
2425,Chelsea,Malo Gusto,FRA,DF,21-180,2003,8.1,535,19,144,233,163,22,535,6,2,33.3,4,66.7,258,1150,559,13,6,2,4,7,333,34
2425,Chelsea,Marc Cucurella,ESP,DF,26-116,1998,8.2,523,40,180,258,87,9,523,2,1,50.0,1,50.0,200,878,478,10,3,0,5,3,326,17
2425,Chelsea,Marc Guiu,ESP,FW,18-316,2006,0.3,5,0,1,2,2,0,5,1,0,0.0,1,100.0,2,3,1,0,0,0,0,0,3,0
2425,Chelsea,Moisés Caicedo,ECU,MF,23-013,2001,10.8,705,23,163,403,147,7,705,15,7,46.7,5,33.3,382,1536,797,9,4,0,9,7,491,13
2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-315,2001,1.7,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12
2425,Chelsea,Nicolas Jackson,SEN,FW,23-148,2001,9.6,257,9,17,124,118,46,257,20,9,45.0,8,40.0,150,991,511,19,9,12,25,11,189,34
2425,Chelsea,Noni Madueke,ENG,FW,22-250,2002,8.4,329,4,37,102,199,53,329,30,16,53.3,14,46.7,217,1893,1240,53,23,23,20,9,250,74
2425,Chelsea,Pedro Neto,POR,FW,24-251,2000,6.2,299,1,30,99,172,23,299,32,12,37.5,14,43.8,205,1609,912,36,14,13,10,7,227,63
2425,Chelsea,Reece James,ENG,DF,24-343,1999,2.7,238,10,76,117,45,0,238,3,1,33.3,1,33.3,125,400,161,0,0,0,1,0,148,1
2425,Chelsea,Renato Veiga,POR,"DF,MF",21-109,2003,1.9,156,2,60,73,26,3,156,5,3,60.0,2,40.0,78,398,132,4,5,1,1,0,102,2
2425,Chelsea,Robert Sánchez,ESP,GK,26-363,1997,11.0,488,357,484,4,0,0,488,0,0,,0,,314,1500,958,0,0,0,0,0,297,0
2425,Chelsea,Roméo Lavia,BEL,MF,20-314,2004,3.7,213,8,54,122,39,0,213,7,6,85.7,1,14.3,137,662,267,2,4,0,0,6,151,5
2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-052,1997,1.9,163,29,104,59,1,0,163,1,1,100.0,0,0.0,98,350,191,0,0,0,0,0,127,0
2425,Chelsea,Wesley Fofana,FRA,DF,23-334,2000,9.6,685,72,313,349,35,9,685,10,5,50.0,2,20.0,420,2239,1067,9,7,1,14,4,486,4
2425,Crystal Palace,Adam Wharton,ENG,MF,20-166,2004,6.9,434,13,96,232,109,6,434,7,1,14.3,6,85.7,225,961,504,6,10,2,5,10,268,6
2425,Crystal Palace,Asher Agbinone,ENG,MF,19-048,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1
2425,Crystal Palace,Caleb Kporha,ENG,DF,18-123,2006,0.0,5,0,0,2,3,0,5,0,0,,0,,2,37,35,1,1,0,0,0,1,0
2425,Crystal Palace,Chadi Riad,MAR,DF,21-151,2003,1.0,90,5,41,49,1,0,90,0,0,,0,,58,318,232,2,0,0,1,0,69,0
2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-312,2000,1.5,85,2,12,61,12,1,85,3,2,66.7,1,33.3,48,188,90,1,2,1,1,2,54,0
2425,Crystal Palace,Chris Richards,USA,DF,24-232,2000,3.8,196,20,100,89,9,2,196,1,0,0.0,1,100.0,90,387,198,2,0,0,0,0,122,1
2425,Crystal Palace,Daichi Kamada,JPN,MF,28-102,1996,6.9,385,11,74,199,113,15,385,5,2,40.0,3,60.0,189,1010,554,13,9,2,7,12,258,29
2425,Crystal Palace,Daniel Muñoz,COL,"DF,MF",28-173,1996,10.0,619,34,157,266,204,33,619,18,7,38.9,10,55.6,255,1320,512,16,11,5,21,7,327,71
2425,Crystal Palace,Dean Henderson,ENG,GK,27-248,1997,11.0,367,315,365,1,1,1,367,0,0,,0,,200,1210,596,0,0,0,0,0,133,0
2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-139,1998,9.0,502,5,65,233,216,36,502,48,17,35.4,29,60.4,306,1774,881,27,18,10,15,13,356,58
2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-169,1999,5.4,188,4,18,75,98,28,188,10,6,60.0,4,40.0,114,859,478,21,12,9,8,8,132,38
2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-264,1998,5.4,211,8,23,78,113,27,211,9,3,33.3,4,44.4,115,697,346,13,8,6,14,12,145,38
2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-140,1997,8.4,197,6,14,82,102,28,196,5,0,0.0,5,100.0,82,326,132,5,3,3,18,5,136,29
2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",30-021,1994,4.6,291,18,85,172,39,4,291,1,0,0.0,1,100.0,139,569,303,2,3,0,1,5,181,11
